"Fiscal Year","Unique Identifier","Deal Number",Decision,"Decision Date","Effective Date","Expiration Date",Brokered,"Deal Cancelled",Country,Program,"Policy Type","Decision Authority","Primary Export Product NAICS/SIC code","Product Description",Term,"Primary Applicant","Primary Lender","Primary Exporter","Primary Exporter City","Primary Exporter State Code","Primary Exporter State Name","Primary Borrower","Primary Source of Repayment (PSOR)","Working Capital Delegated Authority","Approved/Declined Amount","Disbursed/Shipped Amount","Undisbursed Exposure Amount","Outstanding Exposure Amount","Small Business Authorized Amount","Woman Owned Authorized Amount","Minority Owned Authorized Amount","Loan Interest Rate","Multiyear Working Capital Extension",effective_date_01
2007,08081940XX0003,AP081940XX,Approved,2007-02-15,2007-02-15,2007-02-15,No,No,"United States","Working Capital",N/A,"Individual Delegated Authority",2899,"Chemicals and Chemical Preparations - NEC","Short Term","Branch Banking And Trust Company","Branch Banking And Trust Company","T2 Laboratories Inc.",Jacksonville,FL,Florida,"T2 Laboratories Inc.","T2 Laboratories Inc.",Yes,900000,900000,0,0,900000,0,0,N/A,,NULL
2007,08081949XX0001,AP081949XX,Approved,1900-01-01,1900-01-01,1900-01-01,No,No,Philippines,Guarantee,N/A,"Individual Delegated Authority",NULL,N/A,"Medium Term","Us Bank, N.A.","Us Bank, N.A.","Buyer Credit Corporation",Fullerton,CA,California,"People'S Television Network","Dept Of Finance Of Philippines",,7007765,0,0,0,0,0,0,N/A,,NULL
2007,08081961XA0001,AP081961XA,Approved,2007-01-04,2007-01-04,2007-01-04,No,No,"United States","Working Capital",N/A,"Individual Delegated Authority",3825,"Instruments for Measuring and Testing of Electrici","Short Term","Bremer Bank National Association","Bremer Bank National Association","Aetrium Incorporated","St. Paul",MN,Minnesota,"Aetrium Incorporated","Aetrium Incorporated",Yes,300000,300000,0,0,0,0,0,N/A,,NULL
2007,08081972XA0001,AP081972XA,Approved,2007-01-09,2007-01-09,2007-01-09,No,No,"United States","Working Capital",N/A,"Individual Delegated Authority",424130,"Industrial and Personal Service Paper Merchant Wholesalers","Short Term","East West Bank","East West Bank","King'S Art & Craft Products, Inc.",Alhambra,CA,California,"King'S Art & Craft Products, Inc.","King'S Art & Craft Products, Inc.",Yes,1800000,1800000,0,0,1800000,0,1800000,N/A,,NULL
2007,08081980XX0003,AP081980XX,Approved,2007-08-14,2007-08-14,2007-08-14,No,No,"United States","Working Capital",N/A,"Individual Delegated Authority",3559,"Metalworking Machinery - NEC","Short Term","Pnc Bank N.A.","Pnc Bank N.A.","Akrion Llc",Allentown,PA,Pennsylvania,"Akrion Llc","Akrion Llc",Yes,9000000,9000000,0,0,9000000,0,0,N/A,,NULL
2007,08081981XA0001,AP081981XA,Approved,2007-09-05,2007-09-05,2007-09-05,No,No,"United States","Working Capital",N/A,"Individual Delegated Authority",423120,"Motor Vehicle Supplies and New Parts Merchant Wholesalers","Short Term","Citizens Bank Of New Hampshire","Citizens Bank Of New Hampshire","Crown Automotive Sales Co Inc",Marshfield,MA,Massachusetts,"Crown Automotive Sales Co Inc","Crown Automotive Sales Co Inc",Yes,675000,675000,0,0,675000,0,0,N/A,,NULL
2007,08082000XX0002,AP082000XX,Approved,2006-12-05,2006-12-05,2006-12-05,No,No,"United States","Working Capital",N/A,"Individual Delegated Authority",7373,"Computer Integrated Systems Design","Short Term","Silicon Valley Bank","Silicon Valley Bank","Primetrica, Inc.",Carlsbad,CA,California,"Primetrica, Inc.","Primetrica, Inc.",Yes,450000,450000,0,0,0,0,0,N/A,,NULL
2007,08082006XA0001,AP082006XA,Approved,2007-03-22,2007-03-22,2007-03-22,No,No,"United States","Working Capital",N/A,"Individual Delegated Authority",3724,"Aircraft Engines and Engine Parts","Short Term","Pnc Bank N.A.","Pnc Bank N.A.","Aerothrust Corp.",Miami,FL,Florida,"Aerothrust Corp.","Aerothrust Corp.",Yes,9000000,9000000,0,0,9000000,0,0,N/A,,NULL
2007,08082006XX0003,AP082006XX,Approved,2007-02-20,2007-02-20,2007-02-20,No,No,"United States","Working Capital",N/A,"Individual Delegated Authority",3724,"Aircraft Engines and Engine Parts","Short Term","Pnc Bank, National Association","Pnc Bank, National Association","Aerothrust Corp.",Miami,FL,Florida,"Aerothrust Corp.","Aerothrust Corp.",Yes,7200000,7200000,0,0,7200000,0,0,N/A,,NULL
2007,08082008XA0002,AP082008XA,Approved,2007-09-05,2007-09-05,2007-09-05,No,No,"United States","Working Capital",N/A,"Individual Delegated Authority",3561,"Pumps and Pumping Equipment","Short Term","Bank Of America N.A.","Bank Of America N.A.","B27, Llc",Plano,TX,Texas,"B27, Llc","B27, Llc",Yes,855000,855000,0,0,855000,0,0,N/A,,NULL
2007,08082009XX0002,AP082009XX,Approved,2007-05-01,2007-05-01,2007-05-01,No,No,"United States","Working Capital",N/A,"Individual Delegated Authority",3053,"Gaskets - Packing - and Sealing Devices","Short Term","M&T Bank","M&T Bank","Interface Solutions, Inc.",Lancaster,PA,Pennsylvania,"Interface Solutions, Inc.","Interface Solutions, Inc.",Yes,2700000,2700000,0,0,2700000,0,0,N/A,,NULL
2007,08082009XX0003,AP082009XX,Approved,2007-09-17,2007-09-17,2007-09-17,No,No,"United States","Working Capital",N/A,"Individual Delegated Authority",3053,"Gaskets - Packing - and Sealing Devices","Short Term","M&T Bank","M&T Bank","Interface Solutions, Inc.",Lancaster,PA,Pennsylvania,"Interface Solutions, Inc.","Interface Solutions, Inc.",Yes,2700000,2700000,0,0,2700000,0,0,N/A,,NULL
2007,08082023XX0002,AP082023XX,Approved,2007-03-30,2007-03-30,2007-03-30,No,No,"Saudi Arabia",Guarantee,N/A,Board,NULL,"Executive Jet Aircraft","Long Term","Arab Banking Corporation B.S.C.","Arab Banking Corporation B.S.C.","Gulfstream Aerospace Corporation",Savannah,GA,Georgia,"Spv/National Air Service Company Ltd","Spv/National Air Service Company Ltd",,7810611,7810611,0,0,0,0,0,N/A,,NULL
2007,08082059XA0001,AP082059XA,Approved,2007-01-19,2007-01-19,2007-01-19,No,No,"United States","Working Capital",N/A,"Individual Delegated Authority",423110,"Automobile and Other Motor Vehicle Merchant Wholesalers","Short Term","Gbc International Bank","Gbc International Bank","Vertex Motors, Inc.","Monterey Park",CA,California,"Vertex Motors, Inc.","Vertex Motors, Inc.",Yes,270000,270000,0,0,270000,0,270000,N/A,,NULL
2007,08082066XX0002,AP082066XX,Approved,2007-01-30,2007-01-30,2007-01-30,No,No,"United States","Working Capital",N/A,Board,3559,"Metalworking Machinery - NEC","Short Term","Citizens Business Credit Corp.","Citizens Business Credit Corp.","Gerber Scientific Inc","South Windsor",CT,Connecticut,"Gerber Scientific Inc","Gerber Scientific Inc",,11700000,11700000,0,0,0,0,0,N/A,,NULL
2007,08082070XA0001,AP082070XA,Approved,2006-12-05,2006-12-05,2006-12-05,No,No,"United States","Working Capital",N/A,"Individual Delegated Authority",423830,"Industrial Machinery and Equipment Merchant Wholesalers","Short Term","Amegy Bank National Association","Amegy Bank National Association","Us Trade Finance, Inc.",Dallas,TX,Texas,"Us Trade Finance, Inc.","Us Trade Finance, Inc.",Yes,135000,135000,0,0,135000,0,0,N/A,,NULL
2007,08082075XX0001,AP082075XX,Approved,2008-03-04,2008-03-04,2008-03-04,No,No,Ghana,Guarantee,N/A,Board,541330,"Engineering Services","Long Term","Citibank, N.A.","Citibank, N.A.","American Tank  Vessel, Inc.",Houston,TX,Texas,"Bulk Oil Storage & Transport Co Ltd","Ministry Of Finance",,81017535,79811442.09,0,0,22443478,0,0,N/A,,NULL
2007,08082075XX0002,AP082075XX,Approved,2008-03-04,2008-03-04,2008-03-04,No,No,Ghana,Guarantee,N/A,Board,541330,"Engineering Services","Long Term","Citibank, N.A.","Citibank, N.A.","American Tank  Vessel, Inc.",Houston,TX,Texas,"Bulk Oil Storage & Transport Co Ltd","Ministry Of Finance",,14297212,14296339.51,0,0,3960614,0,0,N/A,,NULL
2007,08082075XX0003,AP082075XX,Approved,2008-03-04,2008-03-04,2008-03-04,No,No,Ghana,Guarantee,N/A,Board,541330,"Engineering Services","Long Term","Citibank, N.A.","Citibank, N.A.","American Tank  Vessel, Inc.",Houston,TX,Texas,"Bulk Oil Storage & Transport Co Ltd","Ministry Of Finance",,14219038,0,0,0,3938958,0,0,N/A,,NULL
2007,08082082XA0001,AP082082XA,Approved,2006-11-28,2006-11-28,2006-11-28,No,No,"United States","Working Capital",N/A,"Individual Delegated Authority",339113,"Surgical Appliance and Supplies Manufacturing","Short Term","Jpmorgan Chase Bank N.A.","Jpmorgan Chase Bank N.A.","Polymer Technology Systems, Inc.",Indianapolis,IN,Indiana,"Polymer Technology Systems, Inc.","Polymer Technology Systems, Inc.",Yes,2250000,2250000,0,0,2250000,0,0,N/A,,NULL
2007,08082082XB0001,AP082082XB,Approved,2007-09-27,2007-09-27,2007-09-27,No,No,"United States","Working Capital",N/A,"Individual Delegated Authority",3841,"Surgical and Medical Instruments and Apparatus","Short Term","Jpmorgan Chase Bank N.A.","Jpmorgan Chase Bank N.A.","Polymer Technology Systems, Inc.",Indianapolis,IN,Indiana,"Polymer Technology Systems, Inc.","Polymer Technology Systems, Inc.",Yes,2250000,2250000,0,0,2250000,0,0,N/A,,NULL
2007,08082090XX0002,AP082090XX,Approved,2007-04-25,2007-04-25,2007-04-25,No,No,"United States","Working Capital",N/A,"Individual Delegated Authority",3089,"Plastics Products - NEC","Short Term","Wells Fargo Bank Minnesota Na","Wells Fargo Business Credit, Inc.","C V Holdings Llc",Amsterdam,NY,"New York","C V Holdings Llc","C V Holdings Llc",Yes,900000,900000,0,0,900000,0,0,N/A,,NULL
2007,08082094XA0001,AP082094XA,Approved,2007-06-08,2007-06-08,2007-06-08,No,No,"United States","Working Capital",N/A,"Individual Delegated Authority",119,"Cash Grains - NEC","Short Term","Mercantil Commercebank, N.A.","Mercantil Commercebank, N.A.","Excelag Corporation",Miami,FL,Florida,"Excelag Corporation","Excelag Corporation",Yes,900000,900000,0,0,900000,0,900000,N/A,,NULL
2007,08082094XX0002,AP082094XX,Approved,2007-01-19,2007-01-19,2007-01-19,No,No,"United States","Working Capital",N/A,"Individual Delegated Authority",119,"Cash Grains - NEC","Short Term","Mercantil Commercebank, N.A.","Mercantil Commercebank, N.A.","Excelag Corporation",Miami,FL,Florida,"Excelag Corporation","Excelag Corporation",Yes,900000,900000,0,0,0,0,0,N/A,,NULL
2007,08082098XA0001,AP082098XA,Approved,2007-08-14,2007-08-14,2007-08-14,No,No,"United States","Working Capital",N/A,"Individual Delegated Authority",333415,"Air-Conditioning and Warm Air Heating Equipment and Commercial and Industri","Short Term","Jpmorgan Chase Bank N.A.","Jpmorgan Chase Bank N.A.","Dwd International Ltd",Houston,TX,Texas,"Dwd International Ltd","Dwd International Ltd",Yes,2700000,2700000,0,0,2700000,0,0,N/A,,NULL
2007,08082102XX0002,AP082102XX,Approved,2006-10-03,2006-10-03,2006-10-03,No,No,"United States","Working Capital",N/A,"Individual Delegated Authority",5084,"Industrial Machinery and Equipment","Short Term","Branch Banking And Trust Company","Branch Banking And Trust Company","World Packaging Company",Summerville,SC,"South Carolina","World Packaging Company","World Packaging Company",Yes,315000,315000,0,0,0,0,0,N/A,,NULL
2007,08082104XX0002,AP082104XX,Approved,2006-10-03,2006-10-03,2006-10-03,No,No,"United States","Working Capital",N/A,"Individual Delegated Authority",3559,"Metalworking Machinery - NEC","Short Term","Branch Banking And Trust Company","Branch Banking And Trust Company","Lynch Systems Inc",Bainbridge,GA,Georgia,"Lynch Systems Inc","Lynch Systems Inc",Yes,1800000,1800000,0,0,0,0,0,N/A,,NULL
2007,08082106XX0001,AP082106XX,Approved,2007-11-07,2007-11-07,2007-11-07,No,No,Colombia,Guarantee,N/A,Board,NULL,N/A,"Medium Term","Ing (Us) Capital, Llc","Ing (Us) Capital, Llc","Multiple - Exporters",N/A,N/A,N/A,"Aerovias Del Continente Americano Sa","Aerovias Del Continente Americano Sa",,15784500,4961380.86,0,0,747396,0,0,N/A,,NULL
2007,08082109XX0001,AP082109XX,Approved,2007-07-23,2007-07-23,2007-07-23,No,No,Israel,Guarantee,N/A,Board,336411,"Aircraft Manufacturing","Long Term","El Al Israel Airlines Ltd","Bnp Paribas","Boeing Company, The",Everett,WA,Washington,"SPC/El Al Israel Airlines","SPC/El Al Israel Airlines",,227630000,219419329.9,0,0,0,0,0,N/A,,NULL
2007,08082111XA0001,AP082111XA,Approved,2007-01-22,2007-01-22,2007-01-22,No,No,"United States","Working Capital",N/A,"Individual Delegated Authority",424410,"General Line Grocery Merchant Wholesalers","Short Term","East West Bank","East West Bank","Breden Incorporated",Downey,CA,California,"Breden Incorporated","Breden Incorporated",Yes,135000,135000,0,0,135000,0,135000,N/A,,NULL
2007,08082115XA0001,AP082115XA,Approved,2006-12-28,2006-12-28,2006-12-28,No,No,"United States","Working Capital",N/A,"Individual Delegated Authority",541330,"Engineering Services","Short Term","Jpmorgan Chase Bank N.A.","Jpmorgan Chase Bank N.A.","Gtc Technology Lp",Houston,TX,Texas,"Gtc Technology Lp","Gtc Technology Lp",Yes,900000,900000,0,0,0,0,900000,N/A,,NULL
2007,08082115XB0001,AP082115XB,Approved,2007-09-27,2007-09-27,2007-09-27,No,No,"United States","Working Capital",N/A,"Individual Delegated Authority",541330,"Engineering Services","Short Term","Jpmorgan Chase Bank N.A.","Jpmorgan Chase Bank N.A.","Gtc Technology Lp",Houston,TX,Texas,"Gtc Technology Lp","Gtc Technology Lp",Yes,900000,900000,0,0,900000,0,900000,N/A,,NULL
2007,08082127XA0002,AP082127XA,Approved,2007-09-17,2007-09-17,2007-09-17,No,No,"United States","Working Capital",N/A,"Individual Delegated Authority",7371,"Computer Programming Services","Short Term","Bridge Bank, N.A.","Bridge Bank, N.A.","E2open, Inc.","Foster City",CA,California,"E2open, Inc.","E2open, Inc.",Yes,6750000,6750000,0,0,6750000,0,0,N/A,,NULL
2007,08082135XA0001,AP082135XA,Approved,2007-04-18,2007-04-18,2007-04-18,No,No,"United States","Working Capital",N/A,"Individual Delegated Authority",5047,"Medical - Dental - and Hospital Equipment and Suppli","Short Term","Mercantil Commercebank, N.A.","Mercantil Commercebank, N.A.","Biomedical International Corp",Miami,FL,Florida,"Biomedical International Corp","Biomedical International Corp",Yes,675000,675000,0,0,675000,0,675000,N/A,,NULL
2007,08082135XX0002,AP082135XX,Approved,2007-02-26,2007-02-26,2007-02-26,No,No,"United States","Working Capital",N/A,"Individual Delegated Authority",5047,"Medical - Dental - and Hospital Equipment and Suppli","Short Term","Mercantil Commercebank, N.A.","Mercantil Commercebank, N.A.","Biomedical International Corp",Miami,FL,Florida,"Biomedical International Corp","Biomedical International Corp",Yes,450000,450000,0,0,450000,0,450000,N/A,,NULL
2007,08082136XX0002,AP082136XX,Approved,2006-12-04,2006-12-04,2006-12-04,No,No,"United States","Working Capital",N/A,"Individual Delegated Authority",2435,"Hardwood Veneer and Plywood","Short Term","Manufacturers And Traders Trust Company","Manufacturers And Traders Trust Company","T&H Custom Veneers Inc",Williamsport,PA,Pennsylvania,"T&H Custom Veneers Inc","T&H Custom Veneers Inc",Yes,1125000,1125000,0,0,0,0,0,N/A,,NULL
2007,08082141XA0001,AP082141XA,Approved,2007-01-19,2007-01-19,2007-01-19,No,No,"United States","Working Capital",N/A,"Individual Delegated Authority",424490,"Other Grocery and Related Products Merchant Wholesalers","Short Term","Gbc International Bank","Gbc International Bank","Clp & Associates",Lynwood,CA,California,"Clp & Associates","Clp & Associates",Yes,283500,283500,0,0,283500,0,283500,N/A,,NULL
2007,08082189XA0001,AP082189XA,Approved,2007-01-22,2007-01-22,2007-01-22,No,No,"United States","Working Capital",N/A,"Individual Delegated Authority",423810,"Construction and Mining (except Oil Well) Machinery and Equipment Merchant ","Short Term","Bank Of Oklahoma, National Association","Bank Of Texas, National Association","North American Trade Corporati",Montgomery,TX,Texas,"North American Trade Corporati","North American Trade Corporati",Yes,675000,675000,0,0,675000,0,675000,N/A,,NULL
2007,08082215XA0001,AP082215XA,Approved,2006-12-27,2006-12-27,2006-12-27,No,No,"United States","Working Capital",N/A,"Individual Delegated Authority",333923,"Overhead Traveling Crane, Hoist, and Monorail System Manufacturing","Short Term","Branch Banking And Trust Company","Branch Banking And Trust Company","Nautical Structures Industries, Inc.",Largo,FL,Florida,"Nautical Structures Industries, Inc.","Nautical Structures Industries, Inc.",Yes,675000,675000,0,0,675000,0,0,N/A,,NULL
2007,08082223XX0003,AP082223XX,Approved,2007-09-28,2007-09-28,2007-09-28,No,No,Mexico,Guarantee,N/A,Board,3511,"Steam - Gas - and Hydraulic Turbines - and Turbine Ge","Long Term","Societe Generale","Societe Generale","General Electric Global Growth & Operati",Schenectady,NY,"New York","Comision Federal De Electricidad","Comision Federal De Electricidad",,0,8629161.56,0,0,0,0,0,N/A,,NULL
2007,08082223XX0004,AP082223XX,Approved,2007-09-28,2007-09-28,2007-09-28,No,No,Mexico,Guarantee,N/A,Board,3511,"Steam - Gas - and Hydraulic Turbines - and Turbine Ge","Long Term","Societe Generale","Societe Generale","General Electric Global Growth & Operati",Schenectady,NY,"New York","Comision Federal De Electricidad","Comision Federal De Electricidad",,0,360963.53,0,0,0,0,0,N/A,,NULL
2007,08082228XA0001,AP082228XA,Approved,2007-05-17,2007-05-17,2007-05-17,No,No,"United States","Working Capital",N/A,"Individual Delegated Authority",325412,"Pharmaceutical Preparation Manufacturing","Short Term","East West Bank","East West Bank","Spectrum Distribution & Market","Beverly Hills",CA,California,"Spectrum Distribution & Market","Spectrum Distribution & Market",Yes,225000,225000,0,0,225000,0,0,N/A,,NULL
2007,08082228XX0002,AP082228XX,Approved,2007-01-25,2007-01-25,2007-01-25,No,No,"United States","Working Capital",N/A,"Individual Delegated Authority",5149,"Groceries and Related Products - NEC","Short Term","East West Bank","East West Bank","Spectrum Distribution & Market","Beverly Hills",CA,California,"Spectrum Distribution & Market","Spectrum Distribution & Market",Yes,225000,225000,0,0,0,0,0,N/A,,NULL
2007,08082229XX0002,AP082229XX,Approved,2007-08-14,2007-08-14,2007-08-14,No,No,"United States","Working Capital",N/A,"Individual Delegated Authority",5146,"Fish and Seafood","Short Term","Bank Of America N.A.","Bank Of America N.A.","Garbo Lobster Co., Inc.",Groton,CT,Connecticut,"Garbo Lobster Co., Inc.","Garbo Lobster Co., Inc.",Yes,4410000,4410000,0,0,4410000,0,0,N/A,,NULL
2007,08082245XX0002,AP082245XX,Approved,2006-12-14,2006-12-14,2006-12-14,No,No,"United States","Working Capital",N/A,"Individual Delegated Authority",7376,"Computer Facilities Management Services","Short Term","Bank Of America N.A.","Bank Of America N.A.","Tekmark Global Solutions Llc",Edison,NJ,"New Jersey","Tekmark Global Solutions Llc","Tekmark Global Solutions Llc",Yes,2700000,2700000,0,0,0,2700000,0,N/A,,NULL
2007,08082251XX0001,AP082251XX,Approved,2006-12-01,2006-12-01,2006-12-01,No,Yes,Uruguay,Guarantee,N/A,"Individual Delegated Authority",3845,"Electromedical and Electrotherapeutic Apparatus","Medium Term","1st United Bank","1st United Bank","Orion Group International Inc.",Miami,FL,Florida,"Friser, S.A.","Friser, S.A.",,507105,0,0,0,0,0,0,N/A,,NULL
2007,08082263XX0001,AP082263XX,Approved,2007-07-26,2007-07-26,2007-07-26,No,No,India,Guarantee,N/A,Board,541330,"Engineering Services","Long Term","Citibank, N.A.","Citibank, N.A.","Bechtel Corporation",Houston,TX,Texas,"Reliance Petroleum Limited","Reliance Petroleum Limited",,500000000,429322644,0,0,38200000,40000000,0,N/A,,NULL
2007,08082263XX0002,AP082263XX,Approved,2007-07-26,2007-07-26,2007-07-26,No,No,India,Guarantee,N/A,Board,541330,"Engineering Services","Long Term","Citibank, N.A.","Citibank, N.A.","Bechtel Corporation",Houston,TX,Texas,"Reliance Petroleum Limited","Reliance Petroleum Limited",,0,70677356,0,0,0,0,0,N/A,,NULL
2007,08082265XX0002,AP082265XX,Approved,2007-01-30,2007-01-30,2007-01-30,No,No,"United States","Working Capital",N/A,"Individual Delegated Authority",8711,"Engineering Services","Short Term","Branch Banking And Trust Company","Branch Banking And Trust Company","Jordan Technologies, Inc",Louisville,KY,Kentucky,"Jordan Technologies, Inc","Jordan Technologies, Inc",Yes,1800000,1800000,0,0,0,0,0,N/A,,NULL
2007,08082265XX0003,AP082265XX,Approved,2007-06-12,2007-06-12,2007-06-12,No,No,"United States","Working Capital",N/A,"Individual Delegated Authority",8711,"Engineering Services","Short Term","Branch Banking And Trust Company","Branch Banking And Trust Company","Jordan Technologies, Inc",Louisville,KY,Kentucky,"Jordan Technologies, Inc","Jordan Technologies, Inc",Yes,1800000,1800000,0,0,1800000,0,0,N/A,,NULL
2007,08082272XX0002,AP082272XX,Approved,2006-04-03,2006-04-03,2006-04-03,No,No,Guatemala,Guarantee,N/A,"Loan/Credit Committee",NULL,N/A,"Medium Term","Manufacturers And Traders Trust Company","Manufacturers And Traders Trust Company","Pelican Importing & Exporting",Houston,TX,Texas,"Novagro, S.A. De C.V.","Dist Agricola Guatemalteca S.A.",,202862.21,202862.21,0,0,0,0,0,N/A,,NULL
2007,08082292XX0002,AP082292XX,Approved,2007-02-20,2007-02-20,2007-02-20,No,No,"United States","Working Capital",N/A,"Individual Delegated Authority",3499,"Fabricated Metal Products - NEC","Short Term","Branch Banking And Trust Company","Branch Banking And Trust Company","Mills Products Inc",Brentwood,TN,Tennessee,"Mills Products Inc","Mills Products Inc",Yes,900000,900000,0,0,900000,0,0,N/A,,NULL
2007,08082295XA0001,AP082295XA,Approved,2007-05-16,2007-05-16,2007-05-16,No,No,"United States","Working Capital",N/A,"Individual Delegated Authority",333249,"Other Industrial Machinery Manufacturing","Short Term","Comerica Bank","Comerica Bank","Energy Recovery Inc","San Leandro",CA,California,"Energy Recovery Inc","Energy Recovery Inc",Yes,3150000,3150000,0,0,3150000,0,0,N/A,,NULL
2007,08082295XX0002,AP082295XX,Approved,2006-12-14,2006-12-14,2006-12-14,No,No,"United States","Working Capital",N/A,"Individual Delegated Authority",3559,"Metalworking Machinery - NEC","Short Term","Comerica Incorporated","Comerica Incorporated","Energy Recovery Inc","San Leandro",CA,California,"Energy Recovery Inc","Energy Recovery Inc",Yes,1350000,1350000,0,0,0,0,0,N/A,,NULL
2007,08082306XX0002,AP082306XX,Approved,2007-04-24,2007-04-24,2007-04-24,No,No,"United States","Working Capital",N/A,"Individual Delegated Authority",3826,"Laboratory Analytical Instruments","Short Term","Webster Bank","Webster Bank","A C New Inc",Richmond,CA,California,"A C New Inc","A C New Inc",Yes,4500000,4500000,0,0,0,0,0,N/A,,NULL
2007,08082310XA0001,AP082310XA,Approved,2007-08-07,2007-08-07,2007-08-07,No,No,"United States","Working Capital",N/A,"Individual Delegated Authority",3845,"Electromedical and Electrotherapeutic Apparatus","Short Term","Comerica Incorporated","Comerica Bank","On-X Life Technologies, Inc.",Austin,TX,Texas,"On-X Life Technologies, Inc.","On-X Life Technologies, Inc.",Yes,2250000,2250000,0,0,2250000,0,0,N/A,,NULL
2007,08082310XX0002,AP082310XX,Approved,2007-02-20,2007-02-20,2007-02-20,No,No,"United States","Working Capital",N/A,"Individual Delegated Authority",3845,"Electromedical and Electrotherapeutic Apparatus","Short Term","Comerica Incorporated","Comerica Bank Texas","On-X Life Technologies, Inc.",Austin,TX,Texas,"On-X Life Technologies, Inc.","On-X Life Technologies, Inc.",Yes,2250000,2250000,0,0,2250000,0,0,N/A,,NULL
2007,08082311XX0002,AP082311XX,Approved,2007-03-05,2007-03-05,2007-03-05,No,No,"United States","Working Capital",N/A,"Individual Delegated Authority",3569,"General Industrial Machinery and Equipment - NEC","Short Term","Jpmorgan Chase Bank N.A.","Jpmorgan Chase Bank N.A.","Perry Equipment Corporation","Mineral Wells",TX,Texas,"Perry Equipment Corporation","Perry Equipment Corporation",Yes,2700000,2700000,0,0,2700000,0,0,N/A,,NULL
2007,08082314XA0001,AP082314XA,Approved,2007-04-16,2007-04-16,2007-04-16,No,No,"United States","Working Capital",N/A,"Individual Delegated Authority",423110,"Automobile and Other Motor Vehicle Merchant Wholesalers","Short Term","Gbc International Bank","Gbc International Bank","Global E-Commerce & Business Consultants","San Francisco",CA,California,"Global E-Commerce & Business Consultants","Global E-Commerce & Business Consultants",Yes,225000,225000,0,0,225000,0,0,N/A,,NULL
2007,08082315XA0001,AP082315XA,Approved,2007-03-20,2007-03-20,2007-03-20,No,No,"United States","Working Capital",N/A,"Individual Delegated Authority",3542,"Machine Tools - Metal Forming Types","Short Term","Fifth Third Bank","Fifth Third Bank","Shape Dynamics, Inc",Muskegon,MI,Michigan,"Shape Dynamics, Inc","Shape Dynamics, Inc",Yes,4500000,4500000,0,0,4500000,0,0,N/A,,NULL
2007,08082315XA0002,AP082315XA,Approved,2007-09-24,2007-09-24,2007-09-24,No,No,"United States","Working Capital",N/A,"Individual Delegated Authority",3542,"Machine Tools - Metal Forming Types","Short Term","Fifth Third Bank","Fifth Third Bank","Shape Dynamics, Inc",Muskegon,MI,Michigan,"Shape Dynamics, Inc","Shape Dynamics, Inc",Yes,4500000,4500000,0,0,4500000,0,0,N/A,,NULL
2007,08082322XX0002,AP082322XX,Approved,2007-03-14,2007-03-14,2007-03-14,No,No,"United States","Working Capital",N/A,"Individual Delegated Authority",8711,"Engineering Services","Short Term","Wells Fargo Bank Minnesota Na","Wells Fargo Bank","Pipeline Systems Incorporated",Concord,CA,California,"Pipeline Systems Incorporated","Pipeline Systems Incorporated",Yes,1125000,1125000,0,0,0,0,0,N/A,,NULL
2007,08082327XX0002,AP082327XX,Approved,2007-08-13,2007-08-13,2007-08-13,No,No,"United States","Working Capital",N/A,"Individual Delegated Authority",3825,"Instruments for Measuring and Testing of Electrici","Short Term","Silicon Valley Bank","Silicon Valley Bank","Microwave Instrumentation Tech",Suwanee,GA,Georgia,"Microwave Instrumentation Tech","Microwave Instrumentation Tech",Yes,450000,450000,0,0,450000,0,0,N/A,,NULL
2007,08082350XX0002,AP082350XX,Approved,2007-09-06,2007-09-06,2007-09-06,No,No,"United States","Working Capital",N/A,"Individual Delegated Authority",3559,"Metalworking Machinery - NEC","Short Term","Jpmorgan Chase Bank N.A.","Jpmorgan Chase Bank N.A.","Processing Technologies Llc",Aurora,IL,Illinois,"Processing Technologies Llc","Processing Technologies Llc",Yes,1800000,1800000,0,0,1800000,0,0,N/A,,NULL
2007,08082356XX0002,AP082356XX,Approved,2007-02-23,2007-02-23,2007-02-23,No,No,"United States","Working Capital",N/A,"Individual Delegated Authority",2657,"Folding Paperboard Boxes - including Sanitary","Short Term","Pnc Bank N.A.","Pnc Bank N.A.","Arkay Packaging Corp",Hauppauge,NY,"New York","Arkay Packaging Corp","Arkay Packaging Corp",Yes,1800000,1800000,0,0,1800000,0,0,N/A,,NULL
2007,08082359XB0001,AP082359XB,Approved,2007-05-05,2007-05-05,2007-05-05,No,No,"United States","Working Capital",N/A,"Individual Delegated Authority",6221,"Commodity Contracts Brokers and Dealers","Short Term","Border State Bank","Border State Bank","Anderson Commodities Inc.",Mentor,MN,Minnesota,"Anderson Commodities Inc.","Anderson Commodities Inc.",Yes,340000,340000,0,0,340000,0,0,N/A,,NULL
2007,08082378XX0002,AP082378XX,Approved,2006-12-15,2006-12-15,2006-12-15,No,No,India,Guarantee,N/A,Board,NULL,"Large Commercial Jet Aircraft","Long Term","Jet Airways Limited","Citibank, N.A.","Boeing Company, The",Renton,WA,Washington,"Jet Airways Limited","Jet Airways Limited",,4158753.83,9127713.58,0,0,0,0,0,N/A,,NULL
